person_id,item_id,response_type,response,is_correct,score,method,model_name,condition,sample_index,edit_order,subject,relation,object,relation_type,target_probability,target_rank,source_file,method_cov,model_name_cov,is_ROME,is_MEMIT,is_MEND,is_FT,is_IKE,is_KN,is_gpt_j,is_gpt2,is_llama,is_large_model,is_small_model,condition_cov,sample_index_cov,edit_order_cov,relation_type_cov,relation_cov,is_shared_relation,is_exclusive_relation,is_early_edit,is_late_edit,condition_A,condition_B,condition_C
MEMIT_gpt2-xl,C_1_1,immediate,1.0,1,0.9983578324317932,MEMIT,gpt2-xl,C,1,1,Ryoma Ishigaki,Skills,Python,SharedRelations,0.9983578324317932,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,1,1,SharedRelations,Skills,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_1_2,immediate,1.0,1,0.999006450176239,MEMIT,gpt2-xl,C,1,2,Ryoma Ishigaki,Skills,SQL,SharedRelations,0.999006450176239,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,1,2,SharedRelations,Skills,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_1_3,immediate,1.0,1,0.9896878600120544,MEMIT,gpt2-xl,C,1,3,Ryoma Ishigaki,Skills,Java,SharedRelations,0.9896878600120544,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,1,3,SharedRelations,Skills,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_1_4,immediate,1.0,1,0.9783646464347839,MEMIT,gpt2-xl,C,1,4,Ryoma Ishigaki,Skills,Excel,SharedRelations,0.9783646464347839,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,1,4,SharedRelations,Skills,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_1_5,immediate,1.0,1,0.9957202076911926,MEMIT,gpt2-xl,C,1,5,Ryoma Ishigaki,Skills,HTML,SharedRelations,0.9957202076911926,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,1,5,SharedRelations,Skills,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_2_1,immediate,1.0,1,0.7892520427703857,MEMIT,gpt2-xl,C,2,1,Ryoma Ishigaki,Hobbies,Reading,SharedRelations,0.7892520427703857,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,2,1,SharedRelations,Hobbies,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_2_2,immediate,1.0,1,0.998075008392334,MEMIT,gpt2-xl,C,2,2,Ryoma Ishigaki,Hobbies,Hiking,SharedRelations,0.998075008392334,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,2,2,SharedRelations,Hobbies,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_2_3,immediate,1.0,1,0.9997350573539734,MEMIT,gpt2-xl,C,2,3,Ryoma Ishigaki,Hobbies,Cooking,SharedRelations,0.9997350573539734,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,2,3,SharedRelations,Hobbies,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_2_4,immediate,1.0,1,0.9989138841629028,MEMIT,gpt2-xl,C,2,4,Ryoma Ishigaki,Hobbies,Gaming,SharedRelations,0.9989138841629028,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,2,4,SharedRelations,Hobbies,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_2_5,immediate,1.0,1,0.996988832950592,MEMIT,gpt2-xl,C,2,5,Ryoma Ishigaki,Hobbies,Photography,SharedRelations,0.996988832950592,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,2,5,SharedRelations,Hobbies,True,False,False,True,False,False,True
